error_type,index,true_label,pred_label,text_preview
true_positives,0,1,1,no mereces derechos
true_positives,4,1,1,maldita sea tu religión
true_positives,5,1,1,eres un idiota y no mereces vivir
true_positives,6,1,1,eres una basura humana
true_positives,7,1,1,tu gente es la culpable de todo
true_positives,10,1,1,deberían deportarte del país
true_positives,11,1,1,deberían deportarte del país
true_positives,12,1,1,los tuyos son todos criminales
true_positives,16,1,1,maldita sea tu religión
true_positives,18,1,1,tu raza es inferior
true_positives,20,1,1,tu gente es la culpable de todo
true_positives,22,1,1,eres un idiota y no mereces vivir
true_positives,24,1,1,tu raza es inferior
true_positives,25,1,1,eres un idiota y no mereces vivir
true_positives,26,1,1,eres una basura humana
true_positives,27,1,1,tu gente es la culpable de todo
true_positives,29,1,1,maldita sea tu religión
true_positives,31,1,1,los tuyos son todos criminales
true_positives,32,1,1,eres un idiota y no mereces vivir
true_positives,33,1,1,eres una basura humana
true_positives,34,1,1,eres una basura humana
true_positives,41,1,1,deberían deportarte del país
true_positives,42,1,1,tu raza es inferior
true_positives,45,1,1,maldita sea tu religión
true_positives,47,1,1,eres una basura humana
true_positives,48,1,1,maldita sea tu religión
true_positives,50,1,1,tu raza es inferior
true_positives,52,1,1,los tuyos son todos criminales
true_positives,56,1,1,los tuyos son todos criminales
true_positives,59,1,1,maldita sea tu religión
true_positives,60,1,1,debería haber genocidio contra ustedes
true_positives,61,1,1,debería haber genocidio contra ustedes
true_positives,62,1,1,maldita sea tu religión
true_positives,66,1,1,tu gente es la culpable de todo
true_positives,67,1,1,tu raza es inferior
true_positives,72,1,1,tu gente es la culpable de todo
true_positives,73,1,1,tu raza es inferior
true_positives,74,1,1,eres un idiota y no mereces vivir
true_positives,75,1,1,eres una basura humana
true_positives,78,1,1,no mereces derechos
true_positives,81,1,1,debería haber genocidio contra ustedes
true_positives,82,1,1,maldita sea tu religión
true_positives,83,1,1,tu gente es la culpable de todo
true_positives,84,1,1,no mereces derechos
true_positives,90,1,1,debería haber genocidio contra ustedes
true_positives,91,1,1,los tuyos son todos criminales
true_positives,92,1,1,no mereces derechos
true_positives,95,1,1,deberían deportarte del país
true_positives,96,1,1,deberían deportarte del país
true_positives,98,1,1,eres un parásito para la sociedad
true_positives,100,1,1,debería haber genocidio contra ustedes
true_positives,103,1,1,deberían deportarte del país
true_positives,104,1,1,eres una basura humana
true_positives,105,1,1,debería haber genocidio contra ustedes
true_positives,107,1,1,debería haber genocidio contra ustedes
true_positives,109,1,1,eres un idiota y no mereces vivir
true_positives,110,1,1,tu gente es la culpable de todo
true_positives,111,1,1,debería haber genocidio contra ustedes
true_positives,113,1,1,debería haber genocidio contra ustedes
true_positives,116,1,1,maldita sea tu religión
true_positives,117,1,1,maldita sea tu religión
true_positives,121,1,1,eres un idiota y no mereces vivir
true_positives,123,1,1,debería haber genocidio contra ustedes
true_positives,131,1,1,deberían deportarte del país
true_positives,140,1,1,eres un parásito para la sociedad
true_positives,141,1,1,eres un parásito para la sociedad
true_positives,144,1,1,tu gente es la culpable de todo
true_positives,147,1,1,eres una basura humana
true_positives,148,1,1,tu gente es la culpable de todo
true_positives,152,1,1,tu raza es inferior
true_positives,153,1,1,eres un parásito para la sociedad
true_positives,154,1,1,los tuyos son todos criminales
true_positives,156,1,1,tu gente es la culpable de todo
true_positives,157,1,1,no mereces derechos
true_positives,160,1,1,deberían deportarte del país
true_positives,161,1,1,eres un idiota y no mereces vivir
true_positives,162,1,1,maldita sea tu religión
true_positives,164,1,1,los tuyos son todos criminales
true_positives,165,1,1,deberían deportarte del país
true_positives,166,1,1,eres un parásito para la sociedad
true_positives,172,1,1,eres una basura humana
true_positives,174,1,1,no mereces derechos
true_positives,175,1,1,tu raza es inferior
true_positives,179,1,1,eres un idiota y no mereces vivir
true_positives,180,1,1,los tuyos son todos criminales
true_positives,182,1,1,debería haber genocidio contra ustedes
true_positives,184,1,1,debería haber genocidio contra ustedes
true_positives,185,1,1,eres un parásito para la sociedad
true_positives,186,1,1,debería haber genocidio contra ustedes
true_positives,187,1,1,eres una basura humana
true_positives,188,1,1,maldita sea tu religión
true_positives,189,1,1,eres una basura humana
true_positives,191,1,1,tu gente es la culpable de todo
true_positives,192,1,1,eres un parásito para la sociedad
true_positives,193,1,1,maldita sea tu religión
true_positives,194,1,1,eres un idiota y no mereces vivir
true_positives,195,1,1,los tuyos son todos criminales
true_positives,196,1,1,tu raza es inferior
true_positives,198,1,1,no mereces derechos
true_positives,199,1,1,tu raza es inferior
true_negatives,1,0,0,qué opinas sobre el clima
true_negatives,2,0,0,hola cómo estás
true_negatives,3,0,0,me gustaría discutir la política
true_negatives,8,0,0,hola cómo estás
true_negatives,9,0,0,tengo una buena idea para el trabajo
true_negatives,13,0,0,creo que deberíamos mejorar la educación
true_negatives,14,0,0,me encanta este libro
true_negatives,15,0,0,hola cómo estás
true_negatives,17,0,0,cuál es tu película favorita
true_negatives,19,0,0,cuál es tu película favorita
true_negatives,21,0,0,tengo una pregunta sobre el proyecto
true_negatives,23,0,0,creo que deberíamos mejorar la educación
true_negatives,28,0,0,vamos al cine el viernes
true_negatives,30,0,0,tengo una buena idea para el trabajo
true_negatives,35,0,0,creo que deberíamos mejorar la educación
true_negatives,36,0,0,hola cómo estás
true_negatives,37,0,0,tengo una pregunta sobre el proyecto
true_negatives,38,0,0,tengo una pregunta sobre el proyecto
true_negatives,39,0,0,creo que deberíamos mejorar la educación
true_negatives,40,0,0,creo que deberíamos mejorar la educación
true_negatives,43,0,0,me gustaría discutir la política
true_negatives,44,0,0,el cielo está muy bonito hoy
true_negatives,46,0,0,hola cómo estás
true_negatives,49,0,0,qué opinas sobre el clima
true_negatives,51,0,0,tengo una buena idea para el trabajo
true_negatives,53,0,0,cuál es tu película favorita
true_negatives,54,0,0,qué opinas sobre el clima
true_negatives,55,0,0,el cielo está muy bonito hoy
true_negatives,57,0,0,qué opinas sobre el clima
true_negatives,58,0,0,creo que deberíamos mejorar la educación
true_negatives,63,0,0,tengo una pregunta sobre el proyecto
true_negatives,64,0,0,creo que deberíamos mejorar la educación
true_negatives,65,0,0,cuál es tu película favorita
true_negatives,68,0,0,tengo una buena idea para el trabajo
true_negatives,69,0,0,tengo una buena idea para el trabajo
true_negatives,70,0,0,vamos al cine el viernes
true_negatives,71,0,0,tengo una buena idea para el trabajo
true_negatives,76,0,0,tengo una buena idea para el trabajo
true_negatives,77,0,0,qué opinas sobre el clima
true_negatives,79,0,0,creo que deberíamos mejorar la educación
true_negatives,80,0,0,el cielo está muy bonito hoy
true_negatives,85,0,0,cuál es tu película favorita
true_negatives,86,0,0,cuál es tu película favorita
true_negatives,87,0,0,qué opinas sobre el clima
true_negatives,88,0,0,qué opinas sobre el clima
true_negatives,89,0,0,creo que deberíamos mejorar la educación
true_negatives,93,0,0,me gustaría discutir la política
true_negatives,94,0,0,me gustaría discutir la política
true_negatives,97,0,0,me encanta este libro
true_negatives,99,0,0,me encanta este libro
true_negatives,101,0,0,qué opinas sobre el clima
true_negatives,102,0,0,me encanta este libro
true_negatives,106,0,0,cuál es tu película favorita
true_negatives,108,0,0,cuál es tu película favorita
true_negatives,112,0,0,creo que deberíamos mejorar la educación
true_negatives,114,0,0,el cielo está muy bonito hoy
true_negatives,115,0,0,cuál es tu película favorita
true_negatives,118,0,0,tengo una buena idea para el trabajo
true_negatives,119,0,0,tengo una pregunta sobre el proyecto
true_negatives,120,0,0,tengo una pregunta sobre el proyecto
true_negatives,122,0,0,cuál es tu película favorita
true_negatives,124,0,0,vamos al cine el viernes
true_negatives,125,0,0,tengo una pregunta sobre el proyecto
true_negatives,126,0,0,vamos al cine el viernes
true_negatives,127,0,0,hola cómo estás
true_negatives,128,0,0,tengo una pregunta sobre el proyecto
true_negatives,129,0,0,qué opinas sobre el clima
true_negatives,130,0,0,cuál es tu película favorita
true_negatives,132,0,0,tengo una pregunta sobre el proyecto
true_negatives,133,0,0,creo que deberíamos mejorar la educación
true_negatives,134,0,0,el cielo está muy bonito hoy
true_negatives,135,0,0,qué opinas sobre el clima
true_negatives,136,0,0,vamos al cine el viernes
true_negatives,137,0,0,me gustaría discutir la política
true_negatives,138,0,0,hola cómo estás
true_negatives,139,0,0,qué opinas sobre el clima
true_negatives,142,0,0,creo que deberíamos mejorar la educación
true_negatives,143,0,0,cuál es tu película favorita
true_negatives,145,0,0,me encanta este libro
true_negatives,146,0,0,cuál es tu película favorita
true_negatives,149,0,0,qué opinas sobre el clima
true_negatives,150,0,0,hola cómo estás
true_negatives,151,0,0,el cielo está muy bonito hoy
true_negatives,155,0,0,qué opinas sobre el clima
true_negatives,158,0,0,cuál es tu película favorita
true_negatives,159,0,0,me gustaría discutir la política
true_negatives,163,0,0,cuál es tu película favorita
true_negatives,167,0,0,me encanta este libro
true_negatives,168,0,0,vamos al cine el viernes
true_negatives,169,0,0,tengo una buena idea para el trabajo
true_negatives,170,0,0,el cielo está muy bonito hoy
true_negatives,171,0,0,me encanta este libro
true_negatives,173,0,0,tengo una pregunta sobre el proyecto
true_negatives,176,0,0,el cielo está muy bonito hoy
true_negatives,177,0,0,me encanta este libro
true_negatives,178,0,0,hola cómo estás
true_negatives,181,0,0,el cielo está muy bonito hoy
true_negatives,183,0,0,hola cómo estás
true_negatives,190,0,0,hola cómo estás
true_negatives,197,0,0,me encanta este libro
